Numărul circumscripției electorale județene și a municipiului București,Denumirea circumscripției electorale,Denumirea formațiunii politice/Candidat independent,Pozitie Buletin,Denumirea membrului din cadrul alianței care a propus candidatul,Numele candidatului,Prenumele candidatului,Funcția pentru care candidează,Pozitie lista
1,ALBA,PARTIDUL S.O.S. ROMÂNIA,10,,COROIU,ADINA-RAFILA,SENAT,4
1,ALBA,PATRIOȚII POPORULUI ROMÂN,11,,CHELU,EUGEN-LIVIU,SENAT,1
1,ALBA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,1,,FÜLÖP,SZABOLCS-SIMON,SENAT,1
1,ALBA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,1,,SZŐCS,ILDICO,SENAT,2
1,ALBA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,1,,BONA,ZSOLT-ÁRPÁD,SENAT,3
1,ALBA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,1,,ADĂMESCU,ANA,SENAT,4
1,ALBA,UNIUNEA SALVAȚI ROMÂNIA,5,,MARIȘ,COSMINA-MARIA,SENAT,1
1,ALBA,UNIUNEA SALVAȚI ROMÂNIA,5,,MĂRIE,PETRU-CONSTANTIN,SENAT,2
1,ALBA,UNIUNEA SALVAȚI ROMÂNIA,5,,GIURGIU,TÜNDE-RENÁTA,SENAT,3
1,ALBA,UNIUNEA SALVAȚI ROMÂNIA,5,,HORȘA,IONUȚ,SENAT,4
2,ARAD,ALIANȚA NAȚIONAL CREȘTINĂ,16,,PAȘCA,VASILE-DORIN,SENAT,1
2,ARAD,ALIANȚA PENTRU UNIREA ROMÂNILOR,6,,PARASCA,TEOFIL,SENAT,1
2,ARAD,ALIANȚA PENTRU UNIREA ROMÂNILOR,6,,GALIȘ,FLORIN,SENAT,2
2,ARAD,ALIANȚA PENTRU UNIREA ROMÂNILOR,6,,HĂNCILĂ,ANA,SENAT,3
2,ARAD,ALIANȚA PENTRU UNIREA ROMÂNILOR,6,,ILINCA,DORIN-CĂTĂLIN,SENAT,4
2,ARAD,ALIANȚA PENTRU UNIREA ROMÂNILOR,6,,RĂDUCAN,IONUȚ-DANIEL,SENAT,5
2,ARAD,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI,15,,COZMA,COSMIN-VASILE,SENAT,1
2,ARAD,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI,15,,CIUCĂ,RODICA,SENAT,2
2,ARAD,FORȚA DREPTEI,4,,TODEA,ADINA,SENAT,1
2,ARAD,FORȚA DREPTEI,4,,OLARIU,GABRIEL-FLORIN,SENAT,2
2,ARAD,FORȚA DREPTEI,4,,UIVĂRĂȘANU,MARTA,SENAT,3
2,ARAD,FORȚA DREPTEI,4,,CÎRDAN,LEONTIN-IOAN,SENAT,4
2,ARAD,FORȚA DREPTEI,4,,SĂRAC,IOAN,SENAT,5
2,ARAD,PARTIDUL LIGA ACȚIUNII NAȚIONALE,9,,BOTA,SILVIU-CORNEL,SENAT,1
2,ARAD,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,12,,LAZĂR,LIVIU,SENAT,1
2,ARAD,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,12,,DICU,ANCA-MIHAELA,SENAT,2
2,ARAD,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,12,,ARSA,OVIDIU,SENAT,3
2,ARAD,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,12,,CHIROȘCA-MĂNESCU,CORINA-LILIANA,SENAT,4
2,ARAD,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,12,,IGREȚ,IOAN-FLOREDAN,SENAT,5
2,ARAD,PARTIDUL NAȚIONAL LIBERAL,3,,VARGA,GLAD-AUREL,SENAT,1
2,ARAD,PARTIDUL NAȚIONAL LIBERAL,3,,PAȘCA,MIHAI,SENAT,2
2,ARAD,PARTIDUL NAȚIONAL LIBERAL,3,,FEIEȘ,CRISTIAN,SENAT,3
2,ARAD,PARTIDUL NAȚIONAL LIBERAL,3,,CRIȘAN,CORINA-ANKA,SENAT,4
2,ARAD,PARTIDUL NAȚIONAL LIBERAL,3,,CAZACU,NICU-LUCIAN,SENAT,5
2,ARAD,PARTIDUL NOUA ROMÂNIE,19,,HERLO,IOAN,SENAT,1
2,ARAD,PARTIDUL OAMENILOR TINERI,17,,VOȘTINAR,PAUL-MARCEL,SENAT,1
2,ARAD,PARTIDUL OAMENILOR TINERI,17,,PLAI,MARIA-ADRIANA,SENAT,2
2,ARAD,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,21,,STEPAN-TĂTARU,CARMEN-DANIELA,SENAT,1
2,ARAD,PARTIDUL REPUBLICAN DIN ROMÂNIA,13,,PAUL,IOAN,SENAT,1
2,ARAD,PARTIDUL REPUBLICAN DIN ROMÂNIA,13,,AFLOROAIE,COSTEL-FLORINEL,SENAT,2
2,ARAD,PARTIDUL REPUBLICAN DIN ROMÂNIA,13,,SÎRBU,DOREL,SENAT,3
2,ARAD,PARTIDUL REPUBLICAN DIN ROMÂNIA,13,,STANCU,MIRELA,SENAT,4
2,ARAD,PARTIDUL REPUBLICAN DIN ROMÂNIA,13,,STEPANESCU,PETRU,SENAT,5
2,ARAD,PARTIDUL ROMÂNIA ÎN ACȚIUNE,11,,STANA,IULIAN-OCTAVIAN,SENAT,1
2,ARAD,PARTIDUL ROMÂNIA ÎN ACȚIUNE,11,,POTOLIA,GEANINA,SENAT,2
2,ARAD,PARTIDUL ROMÂNIA ÎN ACȚIUNE,11,,POPA,GABRIEL-MOISE,SENAT,3
2,ARAD,PARTIDUL ROMÂNIA ÎN ACȚIUNE,11,,CUC,ROXANA LARISA,SENAT,4
2,ARAD,PARTIDUL ROMÂNIA ÎN ACȚIUNE,11,,BUN,ADRIAN-DĂNUȚ,SENAT,5
2,ARAD,PARTIDUL SOCIAL DEMOCRAT,2,,PISTRU,EUSEBIU-MANEA,SENAT,1
2,ARAD,PARTIDUL SOCIAL DEMOCRAT,2,,DRAGOȘ,SAMUEL,SENAT,2
2,ARAD,PARTIDUL SOCIAL DEMOCRAT,2,,GROȘAN,EUGENIA,SENAT,3
2,ARAD,PARTIDUL SOCIAL DEMOCRAT,2,,ANDEA,SIMEON-LAURENȚIU-AURELIAN,SENAT,4
2,ARAD,PARTIDUL SOCIAL DEMOCRAT,2,,DANCHICI,IRINA-MARGARETA,SENAT,5
2,ARAD,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,10,,COVACI,FLAVIUS-ANDREI,SENAT,1
2,ARAD,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,10,,GUZEI,FRANCISC,SENAT,2
2,ARAD,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,10,,GÁBOR,GÁBOR,SENAT,3
2,ARAD,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,10,,DAIANU,IZABELA,SENAT,4
2,ARAD,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,10,,DINU,DANIELA-CRISTINA,SENAT,5
2,ARAD,PARTIDUL SOCIAL DEMOCRAT UNIT,18,,CREVANOS,PAUL-FLORIN,SENAT,1
2,ARAD,PARTIDUL S.O.S. ROMÂNIA,14,,PUȘCAȘU,HORAȚIU-MIRCEA,SENAT,1
2,ARAD,PARTIDUL S.O.S. ROMÂNIA,14,,PĂTRĂȘCANU,OVIDIU-RADU,SENAT,2
2,ARAD,PARTIDUL S.O.S. ROMÂNIA,14,,COSTEA,EMIL-DĂNUȚ,SENAT,3
2,ARAD,PARTIDUL S.O.S. ROMÂNIA,14,,AMAFTIESEI,ARABELA-CLARA,SENAT,4
2,ARAD,PARTIDUL S.O.S. ROMÂNIA,14,,KISS,IOANA-RALUCA,SENAT,5
2,ARAD,PATRIOȚII POPORULUI ROMÂN,7,,PASCAR,OVIDIU-RĂZVAN,SENAT,1
2,ARAD,ROMÂNIA SOCIALISTĂ,20,PARTIDUL SOCIALIST ROMÂN,LELIK,MIHAI-FRANCISC,SENAT,1
2,ARAD,ROMÂNIA SOCIALISTĂ,20,PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR,INCICĂU,VIOREL,SENAT,2
2,ARAD,ROMÂNIA SOCIALISTĂ,20,PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR,ARDELEAN,AURORA-ELENA,SENAT,3
2,ARAD,ROMÂNIA SOCIALISTĂ,20,PARTIDUL SOCIALIST ROMÂN,COVACI,ADRIAN-CIPRIAN,SENAT,4
2,ARAD,ROMÂNIA SOCIALISTĂ,20,PARTIDUL SOCIALIST ROMÂN,MOLDOVAN,OCTAVIAN,SENAT,5
2,ARAD,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE,8,,PAUTĂ,RĂZVAN,SENAT,1
2,ARAD,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,1,,PERO,TAMAS-CAROL,SENAT,1
2,ARAD,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,1,,BALTA,IRINA-EMESE,SENAT,2
2,ARAD,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,1,,BIRO,ZOLTAN,SENAT,3
2,ARAD,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,1,,FEKETE,REKA,SENAT,4
2,ARAD,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,1,,FEKETE,CAROL,SENAT,5
2,ARAD,UNIUNEA SALVAȚI ROMÂNIA,5,,ANGHEL,RAZVAN-PAUL,SENAT,1
2,ARAD,UNIUNEA SALVAȚI ROMÂNIA,5,,FILIP,EUGEN-DORIN,SENAT,2
2,ARAD,UNIUNEA SALVAȚI ROMÂNIA,5,,STANOIEVICI,FILIP,SENAT,3
2,ARAD,UNIUNEA SALVAȚI ROMÂNIA,5,,RĂPCĂU,DANIEL-IOAN,SENAT,4
2,ARAD,UNIUNEA SALVAȚI ROMÂNIA,5,,SZABADAI,MARIA,SENAT,5
3,ARGEŞ,ALIANȚA NAȚIONAL CREȘTINĂ,19,,TOADER,DRAGOȘ-MIHAIL,SENAT,1
3,ARGEŞ,ALIANȚA NAȚIONAL CREȘTINĂ,19,,MARIN,FLORENȚA-CONSTANȚA,SENAT,2
3,ARGEŞ,ALIANȚA NAȚIONAL CREȘTINĂ,19,,ILIESCU,AURA,SENAT,3
3,ARGEŞ,ALIANȚA PENTRU UNIREA ROMÂNILOR,6,,CHELARU,MIRCIA,SENAT,1
3,ARGEŞ,ALIANȚA PENTRU UNIREA ROMÂNILOR,6,,DUMITRACHE,ION,SENAT,2
3,ARGEŞ,ALIANȚA PENTRU UNIREA ROMÂNILOR,6,,VLADU,FLORENTINA,SENAT,3
3,ARGEŞ,ALIANȚA PENTRU UNIREA ROMÂNILOR,6,,CUT,SORIN,SENAT,4
3,ARGEŞ,ALIANȚA PENTRU UNIREA ROMÂNILOR,6,,RĂCEANU,ELENA-MĂDĂLINA,SENAT,5
3,ARGEŞ,ALIANȚA PENTRU UNIREA ROMÂNILOR,6,,ROȘU,IONELA-ANDREEA,SENAT,6
3,ARGEŞ,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,16,,COJOCARU-DRĂGULEANU,IOANA-LAURA,SENAT,1
3,ARGEŞ,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,16,,CHITIC,DANIEL-MARIUS,SENAT,2
3,ARGEŞ,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI,10,,ANDREI,FLORIN,SENAT,1
3,ARGEŞ,FORȚA DREPTEI,1,,ION,CRISTINEL-RELIU,SENAT,1
3,ARGEŞ,FORȚA DREPTEI,1,,ANCA,MARIAN,SENAT,2
3,ARGEŞ,FORȚA DREPTEI,1,,PREDESCU,ION,SENAT,3
3,ARGEŞ,FORȚA DREPTEI,1,,PETRE,IONELA,SENAT,4
3,ARGEŞ,FORȚA DREPTEI,1,,ȘUTAN,GHERGHINA,SENAT,5
3,ARGEŞ,FORȚA DREPTEI,1,,HĂLOIU,ALIN-ILIE,SENAT,6
3,ARGEŞ,PARTIDUL DREPTĂȚII,20,,ENE,VALENTIN,SENAT,1
3,ARGEŞ,PARTIDUL DREPTĂȚII,20,,HERA,NATALICA,SENAT,2
3,ARGEŞ,PARTIDUL ECOLOGIST ROMÂN,14,,MIU,VIORICA,SENAT,1
3,ARGEŞ,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,11,,CHIRIAC,ANDREI-GHEORGHE,SENAT,1
3,ARGEŞ,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,11,,GHEORGHE,ALINA-NICOLETA,SENAT,2
3,ARGEŞ,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,11,,STANCU,FLORICA,SENAT,3
3,ARGEŞ,PARTIDUL NAȚIONAL LIBERAL,4,,COTEȚ,MIHAI,SENAT,1
3,ARGEŞ,PARTIDUL NAȚIONAL LIBERAL,4,,BICA,DĂNUȚ,SENAT,2
3,ARGEŞ,PARTIDUL NAȚIONAL LIBERAL,4,,MANEA,ALINA-RAMONA,SENAT,3
3,ARGEŞ,PARTIDUL NAȚIONAL LIBERAL,4,,TUDOR,GHEORGHE-GABRIEL,SENAT,4
3,ARGEŞ,PARTIDUL NAȚIONAL LIBERAL,4,,NICOLAE,LIVIU,SENAT,5
3,ARGEŞ,PARTIDUL NAȚIONAL LIBERAL,4,,VOICA,COSTEL,SENAT,6
3,ARGEŞ,PARTIDUL NOUA ROMÂNIE,22,,IVAN,CONSTANTIN-DANIEL,SENAT,1
3,ARGEŞ,PARTIDUL OAMENILOR TINERI,17,,DUMITRU,MIHAI,SENAT,1
3,ARGEŞ,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,21,,MIHAI,ALEXANDRU-LUCIAN,SENAT,1
3,ARGEŞ,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,21,,CIOABĂ,CRISTIAN,SENAT,2
3,ARGEŞ,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,21,,VLĂDESCU,MARIA-CLAUDIA,SENAT,3
3,ARGEŞ,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,21,,SORICĂ,IOANA,SENAT,4
3,ARGEŞ,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI,21,,GHEORGHE,ION,SENAT,5
3,ARGEŞ,PARTIDUL ROMÂNIA ÎN ACȚIUNE,15,,GHERZAN,CĂTĂLIN,SENAT,1
3,ARGEŞ,PARTIDUL ROMÂNIA ÎN ACȚIUNE,15,,MĂRTĂU,FLORIN-CIPRIAN-LAURENȚIU,SENAT,2
3,ARGEŞ,PARTIDUL ROMÂNIA ÎN ACȚIUNE,15,,TOADER,GEORGE-ALIN,SENAT,3
3,ARGEŞ,PARTIDUL ROMÂNIA ÎN ACȚIUNE,15,,PETRE,LAVINIA-LILIANA,SENAT,4
3,ARGEŞ,PARTIDUL SOCIAL DEMOCRAT,2,,PUIU,OVIDIU,SENAT,1
3,ARGEŞ,PARTIDUL SOCIAL DEMOCRAT,2,,STOCHECI,CRISTINA-MARIANA,SENAT,2
3,ARGEŞ,PARTIDUL SOCIAL DEMOCRAT,2,,DIDEA,IONEL,SENAT,3
3,ARGEŞ,PARTIDUL SOCIAL DEMOCRAT,2,,POPA,ELENA-CRISTINA,SENAT,4
3,ARGEŞ,PARTIDUL SOCIAL DEMOCRAT,2,,PUIU,MARIUS-CRISTIAN,SENAT,5
3,ARGEŞ,PARTIDUL SOCIAL DEMOCRAT,2,,MÎNZÎNĂ,ION,SENAT,6
3,ARGEŞ,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,8,,BISTREANU,DAN,SENAT,1
3,ARGEŞ,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,8,,OIȚĂ,DĂNUȚ,SENAT,2
3,ARGEŞ,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,8,,BUCUR,MARIUS-FLORINEL,SENAT,3
3,ARGEŞ,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,8,,POPA,RĂZVAN-FLORIN,SENAT,4
3,ARGEŞ,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,8,,OIȚĂ,ALINA,SENAT,5
3,ARGEŞ,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,8,,ROȘU,MIHAELA-GABRIELA,SENAT,6
3,ARGEŞ,PARTIDUL SOCIAL DEMOCRAT UNIT,9,,MITROI,TIBERIU-FLORENTIN,SENAT,1
3,ARGEŞ,PARTIDUL SOCIAL DEMOCRAT UNIT,9,,SOCOL,CRISTIAN-TONI,SENAT,2
3,ARGEŞ,PARTIDUL SOCIAL DEMOCRAT UNIT,9,,NEDELCU,LAURENȚIU,SENAT,3
3,ARGEŞ,PARTIDUL SOCIAL DEMOCRAT UNIT,9,,TUFĂ,ALEXANDRU-VALENTIN,SENAT,4
3,ARGEŞ,PARTIDUL SOCIAL DEMOCRAT UNIT,9,,TUFĂ,PETRICĂ,SENAT,5
3,ARGEŞ,PARTIDUL SOCIAL DEMOCRAT UNIT,9,,MITROI,MARIANA-GABRIELLA,SENAT,6
3,ARGEŞ,PARTIDUL S.O.S. ROMÂNIA,23,,FULGA,MARIAN,SENAT,1
3,ARGEŞ,PARTIDUL S.O.S. ROMÂNIA,23,,DUMITRESCU,MARIUS,SENAT,2
3,ARGEŞ,PARTIDUL S.O.S. ROMÂNIA,23,,NEAGOE,MONICA-IOANA,SENAT,3
3,ARGEŞ,PARTIDUL S.O.S. ROMÂNIA,23,,PIETRĂREANU,NICOLAE-DĂNUȚ,SENAT,4
3,ARGEŞ,PARTIDUL S.O.S. ROMÂNIA,23,,NEDELEA,SĂNDIȚA,SENAT,5
3,ARGEŞ,PARTIDUL S.O.S. ROMÂNIA,23,,POPA,CATALIN-VIOREL,SENAT,6
3,ARGEŞ,PARTIDUL UNIUNEA GETO-DACILOR,7,,NEACȘU,BOGDAN-NICOLAE,SENAT,1
3,ARGEŞ,PARTIDUL UNIUNEA GETO-DACILOR,7,,CĂLIN,MARIAN,SENAT,2
3,ARGEŞ,PARTIDUL UNIUNEA GETO-DACILOR,7,,MARINESCU,IOANA-ANDREEA,SENAT,3
3,ARGEŞ,PARTIDUL UNIUNEA GETO-DACILOR,7,,MIHAI,MARIAN,SENAT,4
3,ARGEŞ,PATRIOȚII POPORULUI ROMÂN,12,,BĂLAN,SORIN,SENAT,1
3,ARGEŞ,ROMÂNIA SOCIALISTĂ,18,PARTIDUL SOCIALIST ROMÂN,ROTARU,GHEORGHE,SENAT,1
3,ARGEŞ,ROMÂNIA SOCIALISTĂ,18,PARTIDUL SOCIALIST ROMÂN,BERTA,RAMONA-CORINA,SENAT,2
3,ARGEŞ,ROMÂNIA SOCIALISTĂ,18,PARTIDUL SOCIALIST ROMÂN,DRUGĂU,VIOREL,SENAT,3
3,ARGEŞ,ROMÂNIA SOCIALISTĂ,18,PARTIDUL SOCIALIST ROMÂN,NECULA,CONSTANDIN,SENAT,4
3,ARGEŞ,ROMÂNIA SOCIALISTĂ,18,PARTIDUL COMUNIST ROMÂN - SECOLUL XXI,DEACU,FLORIAN,SENAT,5
3,ARGEŞ,ROMÂNIA SOCIALISTĂ,18,PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR,VOICU,FLORINA-IZABELA,SENAT,6
3,ARGEŞ,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE,13,,POENARU,OANA-CĂTĂLINA,SENAT,1
3,ARGEŞ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,3,,PAMPEL,RÉKA,SENAT,1
3,ARGEŞ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,3,,IGYÁRTÓ,RÉKA,SENAT,2
3,ARGEŞ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,3,,TAMÁSI,ZSOLT-JÓZSEF,SENAT,3
3,ARGEŞ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,3,,BARTA,ZOLTÁN,SENAT,4
3,ARGEŞ,UNIUNEA SALVAȚI ROMÂNIA,5,,MIRCESCU,ION-NARCIS,SENAT,1
3,ARGEŞ,UNIUNEA SALVAȚI ROMÂNIA,5,,VLAICU,BOGDAN,SENAT,2
3,ARGEŞ,UNIUNEA SALVAȚI ROMÂNIA,5,,CREȚU,RODICA,SENAT,3
3,ARGEŞ,UNIUNEA SALVAȚI ROMÂNIA,5,,MARCU,IOANA,SENAT,4
3,ARGEŞ,UNIUNEA SALVAȚI ROMÂNIA,5,,FULGER,ELENA-MANUELA,SENAT,5
3,ARGEŞ,UNIUNEA SALVAȚI ROMÂNIA,5,,STAN,FLOREA,SENAT,6
4,BACĂU,ALIANȚA NAȚIONAL CREȘTINĂ,15,,POPA,IOAN,SENAT,1
4,BACĂU,ALIANȚA NAȚIONAL CREȘTINĂ,15,,SEVERIN,MIHAI,SENAT,2
4,BACĂU,ALIANȚA PENTRU UNIREA ROMÂNILOR,4,,ȘTEFĂNESCU,DANIELA,SENAT,1
4,BACĂU,ALIANȚA PENTRU UNIREA ROMÂNILOR,4,,AURAȘ,RELU,SENAT,2
4,BACĂU,ALIANȚA PENTRU UNIREA ROMÂNILOR,4,,ȘTEFAN,DANIEL-DRAGOȘ,SENAT,3
4,BACĂU,ALIANȚA PENTRU UNIREA ROMÂNILOR,4,,COȘA,MARICICA-LUMINIȚA,SENAT,4
4,BACĂU,ALIANȚA PENTRU UNIREA ROMÂNILOR,4,,GHEORGHIȚĂ,MARIUS-GABRIEL,SENAT,5
4,BACĂU,ALIANȚA PENTRU UNIREA ROMÂNILOR,4,,FILIP,LIVIU-CONSTANTIN,SENAT,6
4,BACĂU,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,18,,BOBAN,DAN,SENAT,1
4,BACĂU,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,18,,CIORTAN,CONSTANTIN,SENAT,2
4,BACĂU,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ,18,,MUNTEANU,ANDREEA-MARIA,SENAT,3
4,BACĂU,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI,22,,GRIGOROAIA,CORNEL-VIOREL,SENAT,1
